ID,BAG,CNTXT,AreaFunction,level,pXRFno,X_Coord,Y_Coord,material,Ag,Al,As,Au,Ca,Cr,Cu,Fe,K,Mg,Mn,Ni,P,Pb,Sr,Ti,V,Zn,synthetic
17,15_922,TAL2,pottery_production,0.0,922_1_escoria,667107.5164,9238694.153,slag,15815.0,767.0,0.0,822.0,27189.0,15.0,4191.0,189337.0,9120.0,1223.0,6663.0,60.0,367.0,5420.0,0.0,3310.0,338.0,6717.0,False
18,15_900,Rm2,foundary,3.0,15_900_140,667093.1114,9238791.815,pottery,7120.0,7370.0,51317.0,296.0,262779.0,16.0,5816.0,55886.0,21889.0,7381.0,1.0,431331.0,109.0,32128.0,0.0,0.0,0.0,0.0,False
19,15_679,Pla1a,foundary,3.0,679_9,667088.5879,9238786.811,pottery,8.0,2485.0,434.0,1720.0,106889.0,29.0,2034.0,703452.0,43329.0,1.0,16278.0,5654.0,76.0,869.0,0.0,74644.0,4313.0,2506.0,False
21,15_772,Rm4,unknown,3.0,772_2,667072.2486,9238772.056,pottery,3.0,1165.0,369.0,891.0,61950.0,33.0,1354.0,528569.0,57400.0,1.0,9575.0,5252.0,697.0,588.0,0.0,65382.0,3015.0,2475.0,False
25,15_759,Rm2,foundary,4.0,759_2,667092.931,9238794.112,pottery,6575.0,327.0,0.0,385.0,9571.0,44.0,1995.0,404580.0,3049.0,376.0,5256.0,192.0,111.0,1326.0,0.0,12907.0,683.0,2742.0,False
28,15_579,Plz1,public_activity,3.0,579_3,667052.3464,9238762.821,pottery,15893.0,856.0,109.0,680.0,18240.0,62.0,4197.0,503699.0,7704.0,1268.0,9398.0,372.0,286.0,1870.0,0.0,19662.0,1010.0,5176.0,False
29,15_579,Plz1,public_activity,3.0,579_1,667044.2066,9238772.458,pottery,5.0,2354.0,569.0,1134.0,101470.0,65.0,775.0,701344.0,51792.0,1.0,17460.0,4690.0,628.0,1555.0,0.0,70885.0,3824.0,2481.0,False
30,15_166,Pla1a,foundary,0.0,166_7,667095.3452,9238786.4,pottery,2.0,2250.0,724.0,1573.0,102264.0,68.0,1087.0,775703.0,53662.0,1.0,20590.0,4837.0,745.0,675.0,0.0,76376.0,3288.0,2669.0,False
31,15_611,Rm5,pottery_production,4.0,611_18,667071.3684,9238767.827,pottery,15236.0,834.0,0.0,593.0,266741.0,71.0,3313.0,114833.0,6804.0,1069.0,2724.0,140.0,450.0,1705.0,0.0,12319.0,337.0,3042.0,False
32,15_166,Pla1a,foundary,0.0,166_8,667095.6052,9238784.435,pottery,5.0,828.0,293.0,764.0,50342.0,73.0,854.0,381194.0,22730.0,1.0,9043.0,3881.0,849.0,382.0,0.0,57202.0,2396.0,1173.0,False
36,15_679,Pla1a,foundary,3.0,679_10,667094.2197,9238782.897,pottery,13730.0,840.0,201.0,252.0,11275.0,77.0,3195.0,504359.0,4636.0,902.0,5525.0,208.0,228.0,2427.0,0.0,17580.0,1158.0,3310.0,False
37,15_842,Rm2,foundary,4.0,842_2,667091.593,9238790.384,pottery,14885.0,884.0,11.0,959.0,30882.0,77.0,4097.0,614758.0,15367.0,1214.0,13852.0,163.0,349.0,2848.0,0.0,9344.0,930.0,6769.0,False
38,15_679,Pla1a,foundary,3.0,679_11,667094.5713,9238784.212,pottery,5.0,2376.0,468.0,1666.0,134552.0,78.0,877.0,699314.0,37051.0,1.0,14428.0,5262.0,814.0,878.0,0.0,70832.0,3727.0,2203.0,False
41,15_418,CA1,residential,2.0,418_1,667071.313,9238815.046,pottery,17084.0,598.0,0.0,728.0,18208.0,90.0,4648.0,765121.0,9758.0,938.0,13300.0,386.0,266.0,3734.0,0.0,23659.0,1140.0,6601.0,False
42,15_766,Rm6,unknown,2.0,766_2,667067.3554,9238771.105,pottery,5.0,1087.0,373.0,834.0,38531.0,91.0,1525.0,508719.0,38640.0,1.0,9910.0,5002.0,223.0,540.0,0.0,62498.0,2997.0,1883.0,False
43,15_812,Rm6,unknown,7.0,812_3,667062.4075,9238769.197,pottery,12098.0,771.0,0.0,647.0,12382.0,92.0,3248.0,622875.0,6026.0,1039.0,11408.0,329.0,170.0,3052.0,0.0,22485.0,978.0,4398.0,False
46,15_763,Rm2,foundary,5.0,763_3,667093.8404,9238792.209,pottery,7924.0,409.0,0.0,137.0,21561.0,94.0,2214.0,343582.0,4640.0,375.0,5592.0,113.0,68.0,873.0,0.0,10801.0,676.0,1491.0,False
49,15_686,Rm5,pottery_production,3.0,686_2,667072.3726,9238760.345,pottery,15955.0,806.0,407.0,942.0,21007.0,102.0,5233.0,643344.0,17631.0,1072.0,7627.0,111.0,207.0,2458.0,0.0,20485.0,1006.0,8958.0,False
50,15_679,Pla1a,foundary,3.0,679_2,667089.9075,9238783.361,pottery,3358.0,341.0,2.0,206.0,5839.0,103.0,1789.0,164403.0,3195.0,287.0,2678.0,167.0,68.0,1118.0,0.0,13892.0,406.0,2222.0,False
51,15_765,Rm2,foundary,4.0,765_1,667092.2237,9238792.899,pottery,13.0,2066.0,828.0,1720.0,225406.0,104.0,1053.0,737892.0,78778.0,1.0,39549.0,5522.0,711.0,1007.0,0.0,71414.0,3535.0,2478.0,False
52,15_782,Rm2,foundary,6.0,782_4,667092.116,9238788.054,pottery,11.0,2684.0,593.0,2089.0,405546.0,104.0,1154.0,628098.0,61595.0,1.0,13562.0,5649.0,3468.0,1031.0,0.0,67772.0,3057.0,1705.0,False
53,15_296,Rm2,foundary,2.0,296_1,667092.1749,9238789.08,pottery,15449.0,790.0,0.0,595.0,23406.0,105.0,8223.0,667349.0,11342.0,923.0,11111.0,265.0,215.0,3455.0,0.0,9392.0,1176.0,5248.0,False
54,15_136,Rm2,foundary,0.0,136_42,667093.6069,9238791.084,pottery,15822.0,775.0,501.0,662.0,26337.0,106.0,4428.0,559079.0,12057.0,1100.0,13594.0,352.0,189.0,3675.0,0.0,10046.0,1654.0,6399.0,False
55,15_814,Rm16,unknown,5.0,814_4,667067.1067,9238799.952,pottery,15588.0,601.0,0.0,676.0,10739.0,108.0,3413.0,689339.0,12071.0,653.0,9714.0,436.0,225.0,2569.0,0.0,22371.0,1648.0,5954.0,False
57,15_756,Rm2,foundary,0.0,756_3,667089.8685,9238794.547,pottery,16890.0,816.0,0.0,647.0,16632.0,119.0,3011.0,515411.0,11278.0,1154.0,7975.0,302.0,192.0,2486.0,0.0,18376.0,1115.0,5548.0,False
58,15_671,Rm5,pottery_production,3.0,671_3,667072.6872,9238767.558,pottery,13371.0,715.0,13.0,695.0,46850.0,119.0,3553.0,478572.0,9045.0,859.0,9338.0,212.0,246.0,1306.0,0.0,18864.0,807.0,4890.0,False
59,15_304,Rm4,unknown,3.0,304_3,667074.9056,9238772.234,pottery,9956.0,612.0,0.0,434.0,15486.0,120.0,3208.0,519595.0,11954.0,798.0,7378.0,171.0,205.0,2429.0,0.0,8396.0,567.0,4461.0,False
60,15_816,Rm16,unknown,5.0,816_3,667070.5998,9238804.265,pottery,14226.0,927.0,0.0,509.0,17371.0,121.0,3699.0,672337.0,12304.0,1282.0,9862.0,261.0,363.0,5664.0,0.0,13237.0,1048.0,4729.0,False
61,15_799,Rm16,unknown,3.0,799_9,667071.2701,9238800.426,pottery,16260.0,857.0,0.0,1059.0,11550.0,122.0,3809.0,749267.0,16006.0,912.0,10120.0,353.0,123.0,2667.0,0.0,22437.0,1909.0,7861.0,False
62,15_923,TAL2,pottery_production,0.0,923_4,667103.035,9238696.363,pottery,13437.0,754.0,0.0,607.0,32309.0,122.0,3292.0,519776.0,12930.0,1335.0,8878.0,194.0,389.0,2507.0,0.0,8150.0,922.0,4214.0,False
63,15_136,Rm2,foundary,0.0,136_31,667090.0733,9238791.328,pottery,12019.0,730.0,8.0,557.0,85536.0,122.0,4636.0,458725.0,6403.0,1012.0,8073.0,184.0,282.0,2697.0,0.0,6698.0,516.0,4719.0,False
64,15_757,Pla1,burial,1.0,757_1,667099.8985,9238791.276,pottery,16249.0,656.0,510.0,743.0,15759.0,124.0,4773.0,656168.0,10535.0,903.0,8227.0,281.0,230.0,6225.0,0.0,23148.0,2201.0,5739.0,False
65,15_611,Rm5,pottery_production,4.0,611_22,667070.7238,9238764.765,pottery,16760.0,894.0,102.0,755.0,43824.0,124.0,5424.0,591530.0,14259.0,819.0,8790.0,320.0,145.0,2574.0,0.0,18004.0,682.0,5647.0,False
68,15_856,Rm2,foundary,4.0,856_2,667092.8924,9238795.108,pottery,16108.0,781.0,28.0,697.0,25375.0,125.0,3059.0,611057.0,10271.0,923.0,9397.0,253.0,92.0,2473.0,0.0,19748.0,905.0,5102.0,False
69,15_255,Rm5,pottery_production,3.0,255_2,667074.3849,9238764.203,pottery,11963.0,725.0,133.0,496.0,23385.0,126.0,3737.0,168440.0,5444.0,929.0,3499.0,138.0,97.0,1319.0,0.0,3154.0,448.0,4055.0,False
70,15_799,Rm16,unknown,3.0,799_6,667072.2356,9238804.262,pottery,10593.0,777.0,15.0,697.0,21067.0,127.0,3736.0,611506.0,5474.0,830.0,11622.0,351.0,238.0,3638.0,0.0,21887.0,1508.0,5597.0,False
74,15_679,Pla1a,foundary,3.0,679_10,667094.629,9238783.611,pottery,18900.0,830.0,224.0,485.0,11382.0,128.0,3314.0,541852.0,5119.0,1119.0,6738.0,278.0,203.0,3092.0,0.0,18122.0,1195.0,4172.0,False
75,15_922,TAL2,pottery_production,0.0,922_4,667104.2927,9238688.649,pottery,15404.0,607.0,0.0,523.0,56940.0,129.0,3794.0,496991.0,8576.0,1037.0,16214.0,354.0,596.0,2302.0,0.0,8470.0,980.0,4443.0,False
76,15_166,Pla1a,foundary,0.0,166_13,667095.6407,9238786.157,pottery,11942.0,920.0,231.0,1232.0,20543.0,130.0,4506.0,289804.0,8296.0,1151.0,16078.0,182.0,401.0,10731.0,0.0,4662.0,458.0,8977.0,False
77,15_657,Rm6,unknown,6.0,657_4,667062.9188,9238771.141,pottery,10752.0,752.0,0.0,351.0,16023.0,132.0,3038.0,669394.0,8039.0,1044.0,27745.0,413.0,263.0,2737.0,0.0,20550.0,1127.0,4251.0,False
78,15_671,Rm5,pottery_production,3.0,671_2,667072.2574,9238761.73,pottery,16468.0,965.0,0.0,527.0,46501.0,135.0,4444.0,532293.0,15625.0,1082.0,8306.0,350.0,86.0,3905.0,0.0,17862.0,898.0,5269.0,False
80,15_686,Rm5,pottery_production,3.0,686_5,667070.3179,9238759.716,pottery,15204.0,811.0,76.0,427.0,28816.0,137.0,4045.0,573783.0,6917.0,1021.0,9338.0,357.0,1.0,3128.0,0.0,21450.0,1077.0,4241.0,False
81,15_579,Plz1,public_activity,3.0,579_3,667047.9647,9238784.582,pottery,4.0,782.0,595.0,901.0,56626.0,137.0,1206.0,301556.0,23087.0,1.0,6930.0,3084.0,519.0,545.0,0.0,32993.0,1391.0,1584.0,False
82,15_166,Pla1a,foundary,0.0,166_9,667091.0173,9238786.061,pottery,1.0,210.0,177.0,275.0,27210.0,141.0,872.0,185464.0,6386.0,1.0,3747.0,3813.0,7.0,408.0,0.0,50194.0,1603.0,226.0,False
83,15_215,Rm4,unknown,4.0,215_6,667071.7656,9238768.135,pottery,16207.0,739.0,0.0,625.0,22804.0,142.0,3774.0,586446.0,10023.0,958.0,17070.0,319.0,357.0,3223.0,0.0,9554.0,990.0,4810.0,False
84,15_579,Plz1,public_activity,3.0,579_2,667043.5849,9238782.456,pottery,15163.0,806.0,0.0,741.0,26691.0,143.0,4534.0,651911.0,10391.0,1049.0,9458.0,308.0,190.0,3068.0,0.0,21863.0,1275.0,6756.0,False
85,15_611,Rm5,pottery_production,4.0,611_20,667073.7811,9238762.522,pottery,17000.0,728.0,47.0,1198.0,17029.0,144.0,4896.0,560488.0,8211.0,862.0,10252.0,363.0,52.0,2922.0,0.0,17914.0,872.0,8586.0,False
86,15_363,Rm4,unknown,4.0,363_7,667075.0762,9238772.502,pottery,9647.0,555.0,118.0,528.0,24192.0,144.0,3502.0,416793.0,8787.0,891.0,7116.0,236.0,72.0,2262.0,0.0,17290.0,795.0,4490.0,False
87,15_166,Pla1a,foundary,0.0,166_2,667091.3324,9238784.412,pottery,14612.0,717.0,0.0,916.0,14465.0,145.0,3361.0,790415.0,14974.0,812.0,11958.0,390.0,193.0,5091.0,0.0,13826.0,1541.0,7246.0,False
88,15_424,CA1,residential,5.0,424_1,667069.3,9238805.94,pottery,10503.0,746.0,0.0,493.0,11125.0,146.0,3429.0,629979.0,5850.0,826.0,11689.0,314.0,163.0,2894.0,0.0,10920.0,738.0,4742.0,False
89,15_363,Rm4,unknown,4.0,363_1,667072.2695,9238772.19,pottery,9.0,1522.0,794.0,1843.0,248257.0,146.0,1093.0,605402.0,70797.0,1.0,13958.0,5456.0,422.0,821.0,0.0,61649.0,3058.0,1955.0,False
90,15_626,Rm6,unknown,2.0,626_1,667070.3755,9238768.932,pottery,5575.0,476.0,0.0,409.0,12257.0,148.0,3006.0,400814.0,4509.0,642.0,5658.0,209.0,93.0,985.0,0.0,6843.0,497.0,3034.0,False
91,15_609,Pla1a,foundary,1.0,609_13,667092.6835,9238783.517,pottery,14742.0,739.0,0.0,791.0,14445.0,148.0,3607.0,703340.0,8546.0,842.0,14451.0,409.0,277.0,3705.0,0.0,12657.0,592.0,5479.0,False
92,15_136,Rm2,foundary,0.0,136_1,667091.3441,9238788.806,pottery,13028.0,719.0,0.0,771.0,31204.0,148.0,4460.0,577985.0,7542.0,1182.0,11148.0,338.0,216.0,3094.0,0.0,10083.0,1104.0,5454.0,False
93,15_680,Rm6,unknown,3.0,680_5,667069.3308,9238771.998,pottery,8.0,2033.0,303.0,1482.0,58346.0,148.0,1413.0,784462.0,30533.0,1.0,18058.0,5167.0,1.0,763.0,0.0,74704.0,3540.0,2645.0,False
94,15_842,Rm2,foundary,4.0,842_5,667095.7731,9238794.678,pottery,16533.0,888.0,0.0,508.0,36909.0,149.0,3424.0,569034.0,11751.0,1193.0,8723.0,316.0,184.0,4432.0,0.0,9374.0,904.0,3549.0,False
95,15_772,Rm4,unknown,3.0,772_1,667071.364,9238768.643,pottery,14514.0,800.0,48.0,651.0,17960.0,151.0,4085.0,576476.0,13289.0,1057.0,7240.0,237.0,159.0,2772.0,0.0,18991.0,1156.0,3697.0,False
96,15_686,Rm5,pottery_production,3.0,686_2,667074.4131,9238764.187,pottery,13087.0,629.0,3.0,579.0,11419.0,152.0,3197.0,489968.0,6297.0,919.0,6422.0,307.0,50.0,1790.0,0.0,22962.0,1302.0,4720.0,False
97,15_799,Rm16,unknown,3.0,799_8,667068.0071,9238803.271,pottery,11178.0,752.0,0.0,563.0,13002.0,152.0,3707.0,718061.0,5629.0,881.0,9177.0,274.0,225.0,3185.0,0.0,23058.0,1399.0,5219.0,False
98,15_860,Rm2,foundary,4.0,860_7,667094.7559,9238792.199,pottery,14199.0,679.0,758.0,426.0,65553.0,152.0,5743.0,476375.0,9133.0,977.0,10160.0,316.0,163.0,14559.0,0.0,6417.0,574.0,4521.0,False
99,15_759,Rm2,foundary,4.0,759_3,667093.4219,9238794.383,pottery,15451.0,793.0,0.0,860.0,15929.0,153.0,3442.0,576615.0,11784.0,984.0,8801.0,305.0,82.0,3217.0,0.0,23955.0,1261.0,6628.0,False
100,15_679,Pla1a,foundary,3.0,679_11,667089.7068,9238786.067,pottery,14761.0,825.0,344.0,426.0,32675.0,155.0,4052.0,503317.0,14792.0,1119.0,5346.0,257.0,228.0,2352.0,0.0,18156.0,954.0,5239.0,False
101,15_757,Pla1,burial,1.0,757_1,667102.5768,9238789.565,pottery,12721.0,759.0,0.0,551.0,18080.0,156.0,3482.0,577740.0,8356.0,976.0,9177.0,310.0,105.0,3953.0,0.0,20955.0,1098.0,4729.0,False
102,15_796,Rm6,unknown,3.0,796_2,667063.5813,9238769.524,pottery,15458.0,783.0,1.0,1022.0,20821.0,156.0,3047.0,658842.0,13225.0,823.0,9507.0,280.0,290.0,3142.0,0.0,20811.0,828.0,8071.0,False
103,15_782,Rm2,foundary,6.0,782_2,667095.5739,9238794.673,pottery,15742.0,635.0,0.0,488.0,23788.0,156.0,3661.0,688586.0,8855.0,1095.0,11913.0,339.0,116.0,3222.0,0.0,21217.0,1051.0,4614.0,False
104,15_759,Rm2,foundary,4.0,759_1,667093.6166,9238793.053,pottery,15132.0,896.0,0.0,675.0,52063.0,156.0,3353.0,561029.0,11374.0,1060.0,7418.0,279.0,321.0,2515.0,0.0,20381.0,988.0,5118.0,False
105,15_810,Rm2,foundary,3.0,810_1,667090.1887,9238789.037,pottery,16075.0,906.0,16.0,786.0,27486.0,157.0,3170.0,548833.0,9680.0,1182.0,9270.0,297.0,280.0,2031.0,0.0,23938.0,1161.0,5651.0,False
106,15_763,Rm2,foundary,5.0,763_1,667094.5582,9238788.834,pottery,13848.0,739.0,129.0,572.0,39891.0,157.0,4001.0,524830.0,5654.0,886.0,6602.0,144.0,545.0,2442.0,0.0,18863.0,1050.0,3990.0,False
107,15_411,Rm2,foundary,4.0,411_1,667094.5294,9238792.621,pottery,11635.0,696.0,199.0,1050.0,32558.0,158.0,4163.0,371388.0,7471.0,1096.0,16803.0,166.0,315.0,2145.0,0.0,16815.0,807.0,8321.0,False
108,15_583,Rm6,unknown,3.0,583_21,667067.6956,9238768.214,pottery,14083.0,762.0,5.0,1008.0,31936.0,160.0,4193.0,614660.0,10965.0,986.0,11249.0,227.0,247.0,2523.0,0.0,9712.0,1041.0,7022.0,False
109,15_781,Rm6,unknown,3.0,781_9,667062.5373,9238769.79,pottery,12363.0,686.0,0.0,808.0,32714.0,160.0,3196.0,582065.0,15498.0,895.0,12804.0,229.0,522.0,2232.0,0.0,10887.0,744.0,7578.0,False
110,15_697,Pla1a,foundary,1.0,697_2,667091.3079,9238784.554,pottery,16757.0,906.0,1.0,803.0,13676.0,161.0,3747.0,681834.0,7296.0,1280.0,12486.0,399.0,459.0,3587.0,0.0,22181.0,1070.0,6584.0,False
111,15_768,Rm5,pottery_production,4.0,768_3,667072.1762,9238763.156,pottery,12877.0,686.0,462.0,597.0,64076.0,161.0,3536.0,472737.0,7900.0,807.0,8036.0,352.0,247.0,5396.0,0.0,17071.0,782.0,4479.0,False
112,15_814,Rm16,unknown,5.0,814_1,667070.1855,9238798.555,pottery,15702.0,918.0,0.0,806.0,25491.0,162.0,3156.0,672050.0,8724.0,1179.0,12484.0,388.0,203.0,3130.0,0.0,21766.0,1231.0,5026.0,False
113,15_765,Rm2,foundary,4.0,765_2,667096.3836,9238795.102,pottery,14282.0,633.0,41.0,485.0,44472.0,162.0,3107.0,554453.0,7824.0,1013.0,10727.0,375.0,170.0,4398.0,0.0,19686.0,1168.0,3505.0,False
114,15_842,Rm2,foundary,4.0,842_1,667092.4594,9238787.763,pottery,15056.0,842.0,48.0,420.0,61968.0,162.0,3835.0,542554.0,13800.0,1299.0,8527.0,300.0,301.0,2759.0,0.0,8190.0,766.0,4752.0,False
115,15_611,Rm5,pottery_production,4.0,611_20,667070.9654,9238766.478,pottery,13902.0,721.0,0.0,697.0,26675.0,163.0,4579.0,662952.0,8074.0,1138.0,10824.0,304.0,158.0,3416.0,0.0,20734.0,1019.0,5713.0,False
116,15_206,Rm4,unknown,4.0,206_1,667073.086,9238772.622,pottery,17618.0,771.0,12.0,559.0,57699.0,165.0,5067.0,565798.0,8288.0,1031.0,11969.0,256.0,230.0,3786.0,0.0,18184.0,860.0,4592.0,False
117,15_799,Rm16,unknown,3.0,799_7,667068.2245,9238799.444,pottery,14292.0,774.0,0.0,700.0,12997.0,166.0,3889.0,723191.0,21171.0,745.0,10363.0,326.0,326.0,2844.0,0.0,21256.0,1406.0,5619.0,False
118,15_609,Pla1a,foundary,1.0,609_15,667096.0916,9238784.385,pottery,14072.0,727.0,27.0,2193.0,38633.0,166.0,4166.0,267467.0,8371.0,1006.0,6989.0,236.0,265.0,2223.0,0.0,5449.0,368.0,24456.0,False
119,15_680,Rm6,unknown,3.0,680_2,667063.1105,9238773.038,pottery,17904.0,862.0,0.0,660.0,22637.0,167.0,3237.0,569335.0,15882.0,1087.0,7203.0,222.0,125.0,2003.0,0.0,20716.0,1356.0,5573.0,False
120,15_238,Rm4,unknown,2.0,238_8,667073.7479,9238768.899,pottery,13562.0,788.0,104.0,847.0,16732.0,169.0,3506.0,686121.0,9033.0,1211.0,10500.0,401.0,231.0,2893.0,0.0,9992.0,1064.0,5493.0,False
121,15_136,Rm2,foundary,0.0,136_39,667093.3431,9238794.564,pottery,15269.0,785.0,0.0,832.0,32729.0,169.0,3864.0,640881.0,9810.0,1006.0,9954.0,354.0,241.0,2728.0,0.0,9930.0,753.0,6862.0,False
122,15_680,Rm6,unknown,3.0,680_4,667068.7794,9238773.282,pottery,9385.0,504.0,25.0,506.0,35807.0,169.0,4681.0,371419.0,7677.0,721.0,8814.0,171.0,361.0,1612.0,0.0,16413.0,858.0,4511.0,False
123,15_860,Rm2,foundary,4.0,860_2,667094.2736,9238794.159,pottery,9149.0,798.0,234.0,334.0,10429.0,170.0,2733.0,349444.0,6039.0,1010.0,3302.0,165.0,172.0,1024.0,0.0,5058.0,989.0,2600.0,False
124,15_611,Rm5,pottery_production,4.0,611_7,667073.4761,9238761.485,pottery,12848.0,710.0,15.0,530.0,30759.0,170.0,3715.0,478171.0,15385.0,990.0,8431.0,283.0,115.0,4045.0,0.0,18256.0,736.0,5499.0,False
128,15_136,Rm2,foundary,0.0,136_28,667090.1928,9238789.835,pottery,13994.0,926.0,0.0,657.0,15876.0,172.0,6087.0,662008.0,11198.0,1128.0,16837.0,347.0,111.0,3723.0,0.0,10475.0,805.0,6015.0,False
129,15_459,Rm16,unknown,1.0,459_5,667072.1207,9238802.156,pottery,10255.0,625.0,0.0,427.0,18260.0,172.0,3375.0,603725.0,5482.0,863.0,9286.0,317.0,269.0,2846.0,0.0,10816.0,757.0,4196.0,False
130,15_812,Rm6,unknown,7.0,812_7,667070.605,9238772.186,pottery,14904.0,943.0,57.0,518.0,27065.0,172.0,4713.0,508998.0,11582.0,912.0,8136.0,378.0,193.0,2896.0,0.0,19476.0,1595.0,4819.0,False
131,15_763,Rm2,foundary,5.0,763_2,667096.0083,9238793.477,pottery,12993.0,640.0,26.0,423.0,42998.0,172.0,3055.0,607238.0,7252.0,824.0,11676.0,265.0,92.0,3007.0,0.0,19816.0,1247.0,3254.0,False
133,15_215,Rm4,unknown,4.0,215_7,667074.0602,9238770.899,pottery,11903.0,709.0,6.0,527.0,14521.0,175.0,6583.0,415075.0,12586.0,1026.0,4770.0,139.0,220.0,2069.0,0.0,6252.0,629.0,5018.0,False
134,15_772,Rm4,unknown,3.0,772_4,667073.2,9238768.128,pottery,14958.0,765.0,181.0,576.0,14978.0,175.0,3911.0,622657.0,8521.0,745.0,9139.0,348.0,251.0,2528.0,0.0,21549.0,1315.0,5452.0,False
135,15_799,Rm16,unknown,3.0,799_6,667067.4,9238804.989,pottery,4.0,930.0,101.0,560.0,33568.0,175.0,1301.0,481760.0,16481.0,1.0,13441.0,4127.0,19.0,483.0,0.0,59081.0,2848.0,1506.0,False
136,15_812,Rm6,unknown,7.0,812_6,667062.4662,9238768.325,pottery,9.0,2647.0,712.0,1602.0,85447.0,176.0,1841.0,884985.0,35969.0,1.0,18933.0,5415.0,1.0,1085.0,0.0,84141.0,4151.0,3706.0,False
137,15_606,Rm6,unknown,2.0,606_2,667063.5703,9238771.595,pottery,13608.0,763.0,0.0,564.0,21957.0,177.0,2971.0,455715.0,16768.0,1032.0,8011.0,202.0,235.0,2520.0,0.0,9400.0,803.0,3081.0,False
138,15_611,Rm5,pottery_production,4.0,611_4,667073.8019,9238759.935,pottery,9815.0,695.0,88.0,594.0,26251.0,177.0,2918.0,512236.0,5962.0,1029.0,8589.0,191.0,236.0,2454.0,0.0,20321.0,905.0,4712.0,False
